amount	serial	1 	2 	4 	8 	16 	32 	
2 	0.110986	0.078240	0.065343	0.067185	0.059760	0.072309	0.160749	
4 	0.058358	0.115691	0.073717	0.093006	0.081733	0.083592	0.089974	
8 	0.106052	0.088365	0.113092	0.140705	0.108222	0.092185	0.090087	
16 	0.123027	0.114582	0.130713	0.148311	0.156437	0.156238	0.139074	
32 	0.124135	0.141592	0.159319	0.165702	0.163313	0.176603	0.158423	
64 	0.163023	0.156657	0.171369	0.195517	0.166752	0.206306	0.206212	
128 	0.190957	0.202703	0.238206	0.216879	0.222338	0.221458	0.251752	
256 	0.216384	0.264668	0.284753	0.265944	0.286864	0.274476	0.356488	
512 	0.315601	0.337498	0.365782	0.362150	0.400538	0.374240	0.349266	
1024 	0.541137	0.517419	0.518793	0.546348	0.468619	0.501625	0.699928	
2048 	0.983694	0.928876	0.919617	0.898328	0.747174	0.765728	0.780879	
4096 	1.478306	1.497420	1.336956	1.309314	1.018206	1.053490	0.983983	
8192 	1.893344	1.913642	1.556542	1.434735	1.166895	1.184541	1.123726	
16384 	2.632110	2.613754	2.043630	1.713184	1.212751	1.174038	1.151683	
32768 	3.819950	3.861718	2.797049	2.144577	1.702479	1.383995	1.426714	
65536 	8.415407	8.328586	5.378579	4.009174	3.462561	3.406508	3.357805	
